Category,Event,Venue,TicketRequired,PriceRange,Latitude,Longitude,Available From,Available To,URL
Exposición Arte,A la hora del té. Estampas sobre cuentos ingleses,Universidad de Guanajuato,No,,21.0173552566714,-101.252919995495,06:00,23:59,https://festivalcervantino.gob.mx/actividad/1461/a-la-hora-del-te-estampas-sobre-cuentos-ingleses
Exposición Arte,Colección Orquesta Sinfónica de Xalapa / 95 aniversario,Universidad de Guanajuato,No,,21.0173552566714,-101.252919995495,06:00,23:59,https://festivalcervantino.gob.mx/actividad/1462/coleccion-orquesta-sinfonica-de-xalapa-95-aniversario
Pintura,El tiempo y la obra. Retrospectiva de José Dolores Aguilera,Museo Salvador Almaraz,No,,20.6741977082982,-101.350017060786,10:00,18:00,https://festivalcervantino.gob.mx/actividad/1471/el-tiempo-y-la-obra-retrospectiva-de-jose-dolores-aguilera
Exposición Arte,Sueños y metáforas. Colección Pago en Especie y Acervo Patrimonial de la SHCP,Museo de Arte Octavio Ocampo,Sí pero es la entrada del museo y todas las expos juntas,27,20.5233036986424,-100.813350756052,10:00,18:00,https://festivalcervantino.gob.mx/actividad/1472/suenos-y-metaforas-coleccion-pago-en-especie-y-acervo-patrimonial-de-la-shcp
Exposición Foto,Las letanías de la sequía. Obra de Antonio Luquín,Museo de Arte Octavio Ocampo,Sí pero es la entrada del museo y todas las expos juntas,27,20.5233036986424,-100.813350756052,10:00,18:00,https://festivalcervantino.gob.mx/actividad/1473/las-letanias-de-la-sequia-obra-de-antonio-luquin
Exposición Antigüedades,Veracruz en siete tiempos. Una revisión a la Bienal de Arte Veracruz,Museo José y Tomás Chávez Morado,Sí pero es la entrada del museo y todas las expos juntas,25,20.9446481684873,-101.428782279004,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1445/veracruz-en-siete-tiempos-una-revision-a-la-bienal-de-arte-veracruz
Pintura,Miguel Cabrera. Pintor de la Virgen María,Galería Mariana,No,,21.0165573108624,-101.253417714066,10:00,15:00,https://festivalcervantino.gob.mx/actividad/1444/miguel-cabrera-pintor-de-la-virgen-maria
Música,Tambor Fantasma: El Libro de Huesos,Templo de la Compañía de Jesús Oratorio de San Felipe Neri,Sí,$230-$330,21.0174401899992,-101.252396604011,17:00,18:00,https://festivalcervantino.gob.mx/actividad/1258/el-libro-de-los-huesos
Danza,Onírico Danza-Teatro del Gesto,Teatro Cervantes,Sí,$150-$380,21.0133239673087,-101.250481870207,17:00,18:30,https://festivalcervantino.gob.mx/actividad/1273/errantes-viaje-a-la-memoria
Teatro,Proyecto Ruelas | Compañía de Teatro Comunitario de San Ignacio,Plaza San Roque,No,,20.6573607390987,-101.342520179245,17:00,18:00,https://festivalcervantino.gob.mx/actividad/1287/cierra-los-ojos-y-entonces-imagina
Cine,Teat Monteok. El cuento del dios del Rayo (1985),Antiguo Patio del Hospicio de la Santísima Trinidad,No,,21.0172637506571,-101.252987987596,17:00,17:30,https://festivalcervantino.gob.mx/actividad/1344/teat-monteok-el-cuento-del-dios-del-rayo-1985
Cine,A Través de Tola (2023),Antiguo Patio del Hospicio de la Santísima Trinidad,No,,21.0172637506571,-101.252987987596,17:00,18:30,https://festivalcervantino.gob.mx/actividad/1345/a-traves-de-tola-2023
Música,Reeps One,Explanada de la Alhóndiga de Granaditas,Sí,$170-$280,21.0191704395952,-101.258549722271,20:00,21:00,https://festivalcervantino.gob.mx/actividad/1254/reeps-one
Teatro,Ménage à trois: Bienvenidx al Kabarett,Catacumbas Mesón de San Antonio,Sí,170,21.0159095038655,-101.254047522055,20:00,21:30,https://festivalcervantino.gob.mx/actividad/1313/menage-a-trois-bienvenidx-al-kabarett
Conferencia Cine,"2016, el año de la crisis (2019) *Charla al término de la función con Gustavo Vega",Universidad de Guanajuato,No,,21.0173552566714,-101.252919995495,20:00,22:00,https://festivalcervantino.gob.mx/actividad/1316/2016-el-ano-de-la-crisis-2019-charla-al-termino-de-la-funcion-con-gustavo-vega
Conferencia Música,Breaking the waves de Missy Mazzol,Teatro Juárez,Sí,$100-$900,21.0154246622089,-101.252935442332,20:00,20:30,https://festivalcervantino.gob.mx/actividad/1419/breaking-the-waves-de-missy-mazzoli
